"text","label"
"Áo bao đẹp ạ!","Positive"
"Tuyệt vời","Positive"
"2day ao khong giong trong","Negative"
"Mùi thơm,bôi lên da mềm da","Positive"
"Vải đẹp, dày dặn","Positive"
"Hàng rất đẹp, rất chi là ưng ý","Positive"
"Chất lượng sản phẩm tốt, date dài","Positive"
"Ăn nói và thái độ phục vụ tốt","Positive"
"Đóng gói sản phẩm chắc chắn","Positive"
"tất sờn hết ca chưa dùng mà vay r","Negative"
"Shop phục vụ rất tốt","Positive"
"Mặc thì cũng đc","Neutral"
"Chất vải khỏi chê","Positive"
"Thời gian giao hàng rất nhanh","Positive"
"Chất lượng sản phẩm tuyệt vời","Positive"
"vải hơi thô cứng Thời gian giao hàng nhanh","Positive"
"Chất lượng sp chưa thật sự đẹp nhe shop","Positive"
"Rất đáng tiền Thời gian giao hàng rất nhanh","Positive"
"Quần rất đẹp mặc vừa vặn","Positive"
"Cảm giác mua hàng bị hớ thật tệ","Negative"
"Khi mua về nên đi sửa lại","Negative"
"Với giá này thì sản phẩm tạm ổn chưa đc gọi là đẹp lắm","Neutral"
"Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời","Positive"
"Giá cả chấp nhận được","Positive"
"Nchung là rất ổn ❤️","Positive"
"Áo quá đẹp luôn nếu không muốn nói là đẹp, may quá có áo mới đi làm cty mới, shop còn mẫu nào trắng nữa để mình mua","Positive"
"Chưa mặc nhưng thấy chất dày dặn, nhìn chung là hài lòng","Positive"
"😊chất vải đã ok mà hình thì siu ciu luôn í.shop rất nhiệt tình...chịu🤗","Positive"
"Giao hàng nhanh","Positive"
"Thấy khá okz thanks shop","Positive"
"Chất lượng sản phẩm tuyệt vời,sẽ ủng hộ shop nhiều","Positive"
"Chất lượng sản phẩm tạm được, vải hơi khô và mỏng","Positive"
"Hàng hoá lừa đảo","Negative"
"Thời gian giao hàng nhanh","Positive"
"Ảnh in đẹp","Positive"
"Giá lại rẻ","Positive"
"Quần áo super đẹp","Positive"
"Giao hàng thiếu, nt cho shop đã xem mà K có phản hồi gì","Negative"
"Thank shop","Positive"
"Tuyệt vời hơn khi mua trên shopee thì được freeship","Positive"
"Tiếc là ko đặt thêm mấy chiếc","Positive"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh","Positive"
"Đồng hồ mua về k sử dụg đc","Negative"
"Chất mềm mịn mát","Positive"
"Giao thiếu 1b 80k , mà im re","Negative"
"Sản phr rất ưng ý","Positive"
"Chất lượng sản phẩm tuyệt vời","Positive"
"mua lần 2 rồi <3","Positive"
"Ngực em cuzng bitnhf thường thôi, mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực","Negative"
"Quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1","Positive"
"99k cũng đáng mua","Positive"
"Quần đẹp, vừa form","Positive"
"Giao hàng nhanh","Positive"
"Chất vải xấu, xù","Negative"
"Sp tạm được, hơi rộng so vs mình","Neutral"
"Đẹp, chất mềm mại mặc rất thích, chủ shop nhiệt tình Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh","Positive"
"Giày nhem nhuốc, ố bẩn + Box nát","Negative"
"Rất đáng tiền, tuy nhiên vải ko được co giãn lắm, nếu là bạn gái từ 55k trở lên thì khó mặc","Neutral"
"Đủ số lượng","Positive"
"Áo y hình Chất lượng sản phẩm tuyệt vời","Positive"
"RẤT ƯNG Ý VÀ CHẤT LƯỢNG!!","Positive"
"Mật để trong tủ lạnh bị đóng sệt lại, khoảng không trong chai ko di chuyển như mật mình mua ở địa phương","Negative"
"Áo sờ chất rất thích","Positive"
"Váy quá đẹp,mặc lên rất tôn da","Positive"
"mình xài hộp màu xanh, sao lại thấy không thơm nhỉ","Positive"
"Giao hàng nhanh, giống hình","Positive"
"Shop tặng thêm bánh và 1 đôi tất lười nữa, đáng yêu 😍😍","Positive"
"Hàng chất lượng tốt, mang đi êm <3","Positive"
"Chất lượng sản phẩm tuyệt vời nhưng màu k giống hình minh đặt","Positive"
"Người giao hàng rất có tâm đấy ạ","Positive"
